artist,album,price_source,ru_price_rub,ru_n,ru_p25,ru_p75,item_kg,item_kg_source,discs,discs_source,vinyl_gram,parcel_kg_solo,cargo_usd_solo,cargo_usd_rider,ru_price_usd,cap_3x_ebay_usd,cap_3x_landed_usd,cap_3x_rider_usd,breakeven_entry_usd,discogs_release,updated
Smokie,Living Next Door To Alice Greatest Hits,ozon_x0.7,3474,1,3474,3474,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,40.13,13.38,-8.62,3.92,18.13,,2026-09-07
System Of A Down,Toxicity,ozon_x0.7,3147,4,3110,3511,,модель,1,карточки Авито (4 шт.),,1.0,22.0,9.46,36.36,12.12,-9.88,2.66,14.36,,2026-09-07
Tame Impala,Currents,ozon_x0.7,5540,1,5540,5540,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,63.99,21.33,-0.67,11.87,41.99,,2026-09-07
The Beatles,Abbey Road,ozon_x0.7,4006,1,4006,4006,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,46.28,15.43,-6.57,5.97,24.28,,2026-09-07
The Beatles,The Decca Tapes,ozon_x0.7,1659,2,1618,1699,,модель,1,карточки Авито (2 шт.),,1.0,22.0,9.46,19.16,6.39,-15.61,-3.07,-2.84,,2026-09-07
The Prodigy,The Fat Of The Land,ozon_x0.7,4334,1,4334,4334,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,50.06,16.69,-5.31,7.23,28.06,,2026-09-07
Twenty One Pilots,Scaled And Icy,ozon_x0.7,3071,1,3071,3071,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,35.47,11.82,-10.18,2.36,13.47,,2026-09-07
Tyler The Creator,Igor,ozon_x0.7,2470,1,2470,2470,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,28.53,9.51,-12.49,0.05,6.53,,2026-09-07
Vocal Jazz,Jazz For Lovers,ozon_x0.7,1827,1,1827,1827,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,21.11,7.04,-14.96,-2.42,-0.89,,2026-09-07
a-ha,Headlines And Deadlines The Hits Of,ozon_x0.7,2952,1,2952,2952,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,34.1,11.37,-10.63,1.91,12.1,,2026-09-07
